case_id,root_service,fault_type,service_family,budget,policy,avg_at_5,top1,top3,top5
dbservice2_memory_1626325390,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1626334718,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1626367699,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice2_memory_1626372232,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1626415344,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice2_memory_1626419131,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice2_memory_1626430015,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1626442568,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1626459595,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1626497813,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice2_memory_1626585941,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1626602315,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice2_memory_1626607598,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1626647915,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1626651683,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1626750100,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1626760761,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1626764016,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1626790578,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1626799339,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1626818990,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice2_memory_1626839958,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1626876599,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice2_memory_1626886884,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice2_memory_1626890594,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1626962039,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1626969117,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1627002602,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice2_memory_1627039811,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1627079656,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice2_memory_1627087394,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice2_memory_1627100858,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1627156737,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice2_memory_1627184617,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice2_memory_1627207759,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice2_memory_1627286946,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1627303928,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice2_memory_1627325374,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1627331922,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice2_memory_1627375478,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1627379165,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice2_memory_1627394588,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice2_memory_1627402075,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice2_memory_1627425736,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice2_memory_1627447589,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice2_memory_1627457508,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1627493621,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice2_memory_1627501550,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1627519836,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1627545507,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice2_memory_1627595898,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice2_memory_1627643030,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1627657911,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1627663155,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1627680230,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice2_memory_1627699210,dbservice2,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
logservice1_cpu_1627596597,logservice1,cpu,logging,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
logservice1_errno111_1626753001,logservice1,errno111,logging,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
logservice1_errno111_1626753227,logservice1,errno111,logging,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
logservice1_memory_1625207751,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
logservice1_memory_1625234459,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
logservice1_memory_1625285989,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
logservice1_memory_1625298536,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
logservice1_memory_1625311435,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
logservice1_memory_1625360381,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
logservice1_memory_1625437325,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
logservice1_memory_1625455375,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
logservice1_memory_1625474243,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
logservice1_memory_1625493602,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
