policy,dataset,fault,budget,cases,top1,top3,top5,avg5,total_reduction,post_injection_trace_reduction,post_injection_span_reduction
abnormality_topk,RE2-OB,loss,0.5,15,0.2,0.4666666666666667,0.8666666666666667,0.52,0.22112904420293583,0.4999765302531787,0.2085426296516649
abnormality_topk,RE2-OB,loss,1.0,15,0.06666666666666667,0.4666666666666667,0.8666666666666667,0.49333333333333335,0.0,0.0,0.0
abnormality_topk,RE2-OB,mem,0.05,15,0.0,0.5333333333333333,1.0,0.6133333333333334,0.43745394936456433,0.9499976642716649,0.9153641541587133
abnormality_topk,RE2-OB,mem,0.1,15,0.0,0.5333333333333333,1.0,0.5866666666666667,0.414432567199911,0.9000121309832901,0.8371230270781207
abnormality_topk,RE2-OB,mem,0.25,15,0.0,0.5333333333333333,1.0,0.5733333333333334,0.3453525865556123,0.7499949915623504,0.5983648962818058
abnormality_topk,RE2-OB,mem,0.5,15,0.0,0.5333333333333333,1.0,0.5866666666666667,0.23023061629453093,0.49998970915784186,0.23497769740091998
abnormality_topk,RE2-OB,mem,1.0,15,0.0,0.5333333333333333,1.0,0.5866666666666667,0.0,0.0,0.0
abnormality_topk,RE2-OB,socket,0.05,15,0.0,0.6,1.0,0.6133333333333334,0.46083282710236567,0.9499993448994547,0.919002083156495
abnormality_topk,RE2-OB,socket,0.1,15,0.0,0.5333333333333333,1.0,0.5866666666666667,0.43658295987581563,0.9000037671913605,0.840119053187005
abnormality_topk,RE2-OB,socket,0.25,15,0.06666666666666667,0.6666666666666666,0.9333333333333333,0.6,0.3638355267955895,0.7499970107243595,0.6010189820876499
