dataset,service,fault,instance,budget,policy,avg5_case_policy,top1_case_policy,top3_case_policy,top5_case_policy,total_reduction,post_injection_trace_reduction,post_injection_span_reduction
RE2-OB,checkoutservice,cpu,3,0.05,late_window,0.8,0.0,1.0,1.0,0.4768820031552121,0.9500402900886382,0.9507577047505533
RE2-OB,checkoutservice,cpu,3,0.05,latency_service_diversity,0.8,0.0,1.0,1.0,0.4768820031552121,0.9500402900886382,0.9083456982316168
RE2-OB,checkoutservice,cpu,3,0.05,latency_topk,0.8,0.0,1.0,1.0,0.4768820031552121,0.9500402900886382,0.9076694801877843
RE2-OB,checkoutservice,cpu,3,0.05,random,0.9199999999999999,0.6,1.0,1.0,0.47689009344282185,0.9500402900886382,0.9506404611904357
RE2-OB,checkoutservice,cpu,3,0.05,service_aware_abnormality,0.8,0.0,1.0,1.0,0.4768820031552121,0.9500402900886382,0.9127386830775218
RE2-OB,checkoutservice,cpu,3,0.1,abnormality_service_diversity,0.8,0.0,1.0,1.0,0.45176166012701746,0.9,0.8367249641215246
RE2-OB,checkoutservice,cpu,3,0.1,abnormality_topk,0.8,0.0,1.0,1.0,0.45176166012701746,0.9,0.8362725304662986
RE2-OB,checkoutservice,cpu,3,0.1,coverage_aware,0.8,0.0,1.0,1.0,0.45176166012701746,0.9,0.8279000754056092
RE2-OB,checkoutservice,cpu,3,0.1,early_window,0.8,0.0,1.0,1.0,0.4518021115650661,0.9,0.9006008124346282
RE2-OB,checkoutservice,cpu,3,0.1,hybrid_abnormality_latency,0.8,0.0,1.0,1.0,0.45176166012701746,0.9,0.8258714212741116
RE2-OB,checkoutservice,cpu,3,0.1,late_window,0.8,0.0,1.0,1.0,0.45176166012701746,0.9,0.901442436330909
RE2-OB,checkoutservice,cpu,3,0.1,latency_service_diversity,0.8,0.0,1.0,1.0,0.45176166012701746,0.9,0.8215805988664835
RE2-OB,checkoutservice,cpu,3,0.1,latency_topk,0.8,0.0,1.0,1.0,0.45176166012701746,0.9,0.82093357009073
RE2-OB,checkoutservice,cpu,3,0.1,random,0.8800000000000001,0.4,1.0,1.0,0.45176975041462714,0.9,0.8999946486341855
RE2-OB,checkoutservice,cpu,3,0.1,service_aware_abnormality,0.8,0.0,1.0,1.0,0.45176166012701746,0.9,0.8362725304662986
RE2-OB,checkoutservice,cpu,3,0.25,abnormality_service_diversity,0.8,0.0,1.0,1.0,0.3764815339185308,0.7500402900886383,0.6158351779329133
