dataset,service,fault,instance,budget_type,policy,budget,top1,top3,top5,avg5,full_trace_count,full_anomalous_trace_count,full_anomalous_span_count,kept_trace_count,kept_anomalous_trace_count,kept_anomalous_span_count
RE2-OB,checkoutservice,disk,2,span_fraction,random,0.25,1.0,1.0,1.0,1.0,24997,12388,202789,15671,3062,50697
RE2-OB,checkoutservice,disk,2,span_fraction,random,0.5,1.0,1.0,1.0,1.0,24997,12388,202789,18755,6146,101394
RE2-OB,checkoutservice,disk,2,span_fraction,random,1.0,1.0,1.0,1.0,1.0,24997,12388,202789,24997,12388,202789
RE2-OB,checkoutservice,disk,2,span_fraction,abnormality_topk,0.1,0.0,1.0,1.0,0.8,24997,12388,202789,13453,844,20279
RE2-OB,checkoutservice,disk,2,span_fraction,abnormality_topk,0.25,1.0,1.0,1.0,1.0,24997,12388,202789,14657,2048,50697
RE2-OB,checkoutservice,disk,2,span_fraction,abnormality_topk,0.5,1.0,1.0,1.0,1.0,24997,12388,202789,16733,4124,101394
RE2-OB,checkoutservice,disk,2,span_fraction,abnormality_topk,1.0,1.0,1.0,1.0,1.0,24997,12388,202789,24997,12388,202789
RE2-OB,checkoutservice,disk,2,span_fraction,service_aware_abnormality,0.1,0.0,1.0,1.0,0.8,24997,12388,202789,13453,844,20279
RE2-OB,checkoutservice,disk,2,span_fraction,service_aware_abnormality,0.25,1.0,1.0,1.0,1.0,24997,12388,202789,14657,2048,50697
RE2-OB,checkoutservice,disk,2,span_fraction,service_aware_abnormality,0.5,1.0,1.0,1.0,1.0,24997,12388,202789,16733,4124,101394
RE2-OB,checkoutservice,disk,2,span_fraction,service_aware_abnormality,1.0,1.0,1.0,1.0,1.0,24997,12388,202789,24997,12388,202789
RE2-OB,checkoutservice,disk,3,trace_fraction,random,0.1,1.0,1.0,1.0,1.0,24858,12357,203772,13739,1236,20354
