dataset,service,fault,instance,policy,budget,top1,top3,top5,avg5,full_trace_count,kept_trace_count,full_anomalous_trace_count,kept_anomalous_trace_count
RE2-OB,checkoutservice,socket,2,late_window,0.1,0.0,1.0,1.0,0.8,24729,13785,12160,1216
RE2-OB,checkoutservice,socket,2,late_window,0.25,0.0,1.0,1.0,0.8,24729,15609,12160,3040
RE2-OB,checkoutservice,socket,2,late_window,0.5,0.0,1.0,1.0,0.6,24729,18649,12160,6080
RE2-OB,checkoutservice,socket,2,late_window,1.0,0.0,1.0,1.0,0.8,24729,24729,12160,12160
RE2-OB,checkoutservice,socket,3,random,0.1,1.0,1.0,1.0,1.0,24821,13681,12378,1238
RE2-OB,checkoutservice,socket,3,random,0.25,1.0,1.0,1.0,1.0,24821,15537,12378,3094
RE2-OB,checkoutservice,socket,3,random,0.5,1.0,1.0,1.0,1.0,24821,18632,12378,6189
RE2-OB,checkoutservice,socket,3,random,1.0,1.0,1.0,1.0,1.0,24821,24821,12378,12378
RE2-OB,checkoutservice,socket,3,early_window,0.1,1.0,1.0,1.0,1.0,24821,13681,12378,1238
RE2-OB,checkoutservice,socket,3,early_window,0.25,1.0,1.0,1.0,1.0,24821,15537,12378,3094
RE2-OB,checkoutservice,socket,3,early_window,0.5,1.0,1.0,1.0,1.0,24821,18632,12378,6189
RE2-OB,checkoutservice,socket,3,early_window,1.0,1.0,1.0,1.0,1.0,24821,24821,12378,12378
RE2-OB,checkoutservice,socket,3,late_window,0.1,0.0,1.0,1.0,0.8,24821,13681,12378,1238
RE2-OB,checkoutservice,socket,3,late_window,0.25,0.0,0.0,1.0,0.4,24821,15537,12378,3094
RE2-OB,checkoutservice,socket,3,late_window,0.5,0.0,1.0,1.0,0.6,24821,18632,12378,6189
RE2-OB,checkoutservice,socket,3,late_window,1.0,1.0,1.0,1.0,1.0,24821,24821,12378,12378
RE2-OB,currencyservice,cpu,1,random,0.1,0.0,1.0,1.0,0.8,24408,13687,11912,1191
RE2-OB,currencyservice,cpu,1,random,0.25,0.0,1.0,1.0,0.8,24408,15474,11912,2978
