dataset,fault,budget,seed,cases,top1,top3,top5,avg5,total_reduction,post_injection_reduction
RE2-OB,delay,0.75,2031,15,0.2,0.4,0.9333333333333333,0.56,0.11988191369685612,0.2500022890928943
RE2-OB,delay,0.75,2032,15,0.2,0.4666666666666667,0.9333333333333333,0.56,0.11988191369685612,0.2500022890928943
RE2-OB,delay,0.75,2033,15,0.2,0.4,0.8666666666666667,0.5333333333333333,0.11988191369685612,0.2500022890928943
RE2-OB,delay,0.75,2034,15,0.2,0.4666666666666667,0.9333333333333333,0.56,0.11988191369685612,0.2500022890928943
RE2-OB,delay,0.75,2035,15,0.2,0.4,1.0,0.5733333333333334,0.11988191369685612,0.2500022890928943
RE2-OB,delay,1.0,2026,15,0.2,0.4666666666666667,0.9333333333333333,0.5733333333333334,0.0,0.0
RE2-OB,delay,1.0,2027,15,0.2,0.4666666666666667,0.9333333333333333,0.5733333333333334,0.0,0.0
RE2-OB,delay,1.0,2028,15,0.2,0.4666666666666667,0.9333333333333333,0.5733333333333334,0.0,0.0
RE2-OB,delay,1.0,2029,15,0.2,0.4666666666666667,0.9333333333333333,0.5733333333333334,0.0,0.0
RE2-OB,delay,1.0,2030,15,0.2,0.4666666666666667,0.9333333333333333,0.5733333333333334,0.0,0.0
RE2-OB,delay,1.0,2031,15,0.2,0.4666666666666667,0.9333333333333333,0.5733333333333334,0.0,0.0
RE2-OB,delay,1.0,2032,15,0.2,0.4666666666666667,0.9333333333333333,0.5733333333333334,0.0,0.0
RE2-OB,delay,1.0,2033,15,0.2,0.4666666666666667,0.9333333333333333,0.5733333333333334,0.0,0.0
RE2-OB,delay,1.0,2034,15,0.2,0.4666666666666667,0.9333333333333333,0.5733333333333334,0.0,0.0
RE2-OB,delay,1.0,2035,15,0.2,0.4666666666666667,0.9333333333333333,0.5733333333333334,0.0,0.0
RE2-OB,disk,0.05,2026,15,0.2,0.7333333333333333,1.0,0.6933333333333334,0.46535487244441576,0.949996731468197
RE2-OB,disk,0.05,2027,15,0.13333333333333333,0.8,1.0,0.68,0.46535487244441576,0.949996731468197
RE2-OB,disk,0.05,2028,15,0.2,0.7333333333333333,1.0,0.6799999999999999,0.46535487244441576,0.949996731468197
RE2-OB,disk,0.05,2029,15,0.13333333333333333,0.8,1.0,0.6799999999999999,0.46535487244441576,0.949996731468197
RE2-OB,disk,0.05,2030,15,0.2,0.8,1.0,0.6799999999999999,0.46535487244441576,0.949996731468197
RE2-OB,disk,0.05,2031,15,0.2,0.8,1.0,0.7066666666666667,0.46535487244441576,0.949996731468197
RE2-OB,disk,0.05,2032,15,0.2,0.6,1.0,0.6666666666666666,0.46535487244441576,0.949996731468197
RE2-OB,disk,0.05,2033,15,0.2,0.8666666666666667,1.0,0.6933333333333334,0.46535487244441576,0.949996731468197
RE2-OB,disk,0.05,2034,15,0.2,0.7333333333333333,1.0,0.6799999999999999,0.46535487244441576,0.949996731468197
RE2-OB,disk,0.05,2035,15,0.2,0.7333333333333333,1.0,0.6666666666666666,0.46535487244441576,0.949996731468197
RE2-OB,disk,0.1,2026,15,0.2,0.8,1.0,0.7066666666666667,0.4408631960978527,0.8999979390068594
RE2-OB,disk,0.1,2027,15,0.2,0.8,1.0,0.7066666666666667,0.4408631960978527,0.8999979390068594
RE2-OB,disk,0.1,2028,15,0.2,0.8,1.0,0.7066666666666667,0.4408631960978527,0.8999979390068594
RE2-OB,disk,0.1,2029,15,0.2,0.8,1.0,0.7066666666666667,0.4408631960978527,0.8999979390068594
RE2-OB,disk,0.1,2030,15,0.2,0.8,1.0,0.7066666666666667,0.4408631960978527,0.8999979390068594
