dataset,budget,seed,cases,top1,top3,top5,avg5,total_reduction,post_injection_reduction
RE2-OB,0.25,2030,90,0.13333333333333333,0.6444444444444445,0.9666666666666667,0.6244444444444445,0.35297034417073353,0.7500006186261609
RE2-OB,0.25,2031,90,0.12222222222222222,0.6111111111111112,0.9333333333333333,0.6022222222222222,0.35297034417073353,0.7500006186261609
RE2-OB,0.25,2032,90,0.15555555555555556,0.6333333333333333,0.9666666666666667,0.6244444444444445,0.35297034417073353,0.7500006186261609
RE2-OB,0.25,2033,90,0.14444444444444443,0.6222222222222222,0.9888888888888889,0.62,0.35297034417073353,0.7500006186261609
RE2-OB,0.25,2034,90,0.15555555555555556,0.6444444444444445,0.9777777777777777,0.6333333333333333,0.35297034417073353,0.7500006186261609
RE2-OB,0.25,2035,90,0.13333333333333333,0.6333333333333333,0.9777777777777777,0.6266666666666667,0.35297034417073353,0.7500006186261609
RE2-OB,0.35,2026,90,0.12222222222222222,0.6555555555555556,0.9555555555555556,0.6244444444444445,0.3059080671706551,0.64999846010576
RE2-OB,0.35,2027,90,0.13333333333333333,0.6333333333333333,0.9555555555555556,0.62,0.3059080671706551,0.64999846010576
RE2-OB,0.35,2028,90,0.1111111111111111,0.6333333333333333,0.9666666666666667,0.6133333333333334,0.3059080671706551,0.64999846010576
RE2-OB,0.35,2029,90,0.1111111111111111,0.6333333333333333,0.9555555555555556,0.6133333333333334,0.3059080671706551,0.64999846010576
RE2-OB,0.35,2030,90,0.13333333333333333,0.6333333333333333,0.9555555555555556,0.6244444444444445,0.3059080671706551,0.64999846010576
RE2-OB,0.35,2031,90,0.13333333333333333,0.6222222222222222,0.9888888888888889,0.6288888888888889,0.3059080671706551,0.64999846010576
RE2-OB,0.35,2032,90,0.12222222222222222,0.6555555555555556,0.9777777777777777,0.6288888888888889,0.3059080671706551,0.64999846010576
RE2-OB,0.35,2033,90,0.14444444444444443,0.6555555555555556,0.9777777777777777,0.6244444444444445,0.3059080671706551,0.64999846010576
RE2-OB,0.35,2034,90,0.14444444444444443,0.6333333333333333,0.9777777777777777,0.6333333333333333,0.3059080671706551,0.64999846010576
RE2-OB,0.35,2035,90,0.14444444444444443,0.6444444444444445,0.9777777777777777,0.6244444444444445,0.3059080671706551,0.64999846010576
RE2-OB,0.5,2026,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6222222222222222,0.23531188742427406,0.500000908053181
RE2-OB,0.5,2027,90,0.12222222222222222,0.6111111111111112,0.9666666666666667,0.6155555555555555,0.23531188742427406,0.500000908053181
RE2-OB,0.5,2028,90,0.12222222222222222,0.6333333333333333,0.9555555555555556,0.6177777777777778,0.23531188742427406,0.500000908053181
RE2-OB,0.5,2029,90,0.12222222222222222,0.6333333333333333,0.9888888888888889,0.6288888888888889,0.23531188742427406,0.500000908053181
RE2-OB,0.5,2030,90,0.12222222222222222,0.6222222222222222,0.9666666666666667,0.62,0.23531188742427406,0.500000908053181
RE2-OB,0.5,2031,90,0.13333333333333333,0.6333333333333333,0.9555555555555556,0.6222222222222222,0.23531188742427406,0.500000908053181
RE2-OB,0.5,2032,90,0.1111111111111111,0.6333333333333333,0.9666666666666667,0.6177777777777778,0.23531188742427406,0.500000908053181
RE2-OB,0.5,2033,90,0.12222222222222222,0.6333333333333333,0.9777777777777777,0.6244444444444445,0.23531188742427406,0.500000908053181
RE2-OB,0.5,2034,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6177777777777778,0.23531188742427406,0.500000908053181
RE2-OB,0.5,2035,90,0.12222222222222222,0.6333333333333333,0.9666666666666667,0.6222222222222222,0.23531188742427406,0.500000908053181
RE2-OB,0.75,2026,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6177777777777778,0.11765835710769201,0.24999938137383906
RE2-OB,0.75,2027,90,0.12222222222222222,0.6444444444444445,0.9666666666666667,0.6244444444444445,0.11765835710769201,0.24999938137383906
RE2-OB,0.75,2028,90,0.12222222222222222,0.6555555555555556,0.9666666666666667,0.6266666666666667,0.11765835710769201,0.24999938137383906
RE2-OB,0.75,2029,90,0.12222222222222222,0.6444444444444445,0.9666666666666667,0.6266666666666667,0.11765835710769201,0.24999938137383906
RE2-OB,0.75,2030,90,0.1111111111111111,0.6222222222222222,0.9666666666666667,0.62,0.11765835710769201,0.24999938137383906
RE2-OB,0.75,2031,90,0.12222222222222222,0.6333333333333333,0.9666666666666667,0.6244444444444445,0.11765835710769201,0.24999938137383906
RE2-OB,0.75,2032,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6222222222222222,0.11765835710769201,0.24999938137383906
RE2-OB,0.75,2033,90,0.1111111111111111,0.6333333333333333,0.9555555555555556,0.6177777777777778,0.11765835710769201,0.24999938137383906
