dataset,fault,budget,seeds,cases_per_seed,top1_mean,top3_mean,top5_mean,avg5_mean,avg5_std,total_reduction_mean,post_injection_reduction_mean,avg5_ci95
RE2-TT,disk,1.0,10,15.0,0.8,0.9333333333333333,1.0,0.9200000000000002,0.0,0.0,0.0,0.0
RE2-TT,loss,0.05,10,15.0,0.8400000000000001,0.9199999999999999,0.9533333333333334,0.9106666666666667,0.04124003807879839,0.4604369573157692,0.9500202835135776,0.025560840419731175
RE2-TT,loss,0.1,10,15.0,0.86,0.9400000000000001,0.9666666666666666,0.9253333333333333,0.046698401907782044,0.43618252408902125,0.899977018896245,0.028943969371234543
RE2-TT,loss,0.15,10,15.0,0.8466666666666667,0.9333333333333333,0.9733333333333334,0.9119999999999999,0.04453324462177902,0.4119600619882286,0.8499973024098229,0.02760199098204402
RE2-TT,loss,0.2,10,15.0,0.8266666666666668,0.9466666666666667,0.9933333333333334,0.9266666666666667,0.03399346342395191,0.38773594949775414,0.8000149566508796,0.02106936691555355
RE2-TT,loss,0.25,10,15.0,0.8400000000000001,0.96,0.9866666666666667,0.9306666666666666,0.025762447548781212,0.36349386676930634,0.7499961472538935,0.015967730421535008
RE2-TT,loss,0.35,10,15.0,0.82,0.9666666666666666,1.0,0.9333333333333333,0.026666666666666717,0.31501703337369336,0.649972934137013,0.01652817123714676
RE2-TT,loss,0.5,10,15.0,0.8133333333333332,0.9666666666666666,1.0,0.9306666666666666,0.027968235951204037,0.2423188003409999,0.4999729335332563,0.017334892237590886
RE2-TT,loss,0.75,10,15.0,0.8133333333333332,0.9666666666666666,1.0,0.9333333333333333,0.015396007178390021,0.1211655526472554,0.25000385274610654,0.009542544112978894
RE2-TT,loss,1.0,10,15.0,0.8,1.0,1.0,0.9333333333333333,0.0,0.0,0.0,0.0
RE2-TT,mem,0.05,10,15.0,0.8333333333333334,1.0,1.0,0.9666666666666666,0.014401645996461907,0.466335400239607,0.9500013792619981,0.008926232667235913
RE2-TT,mem,0.1,10,15.0,0.8466666666666667,1.0,1.0,0.9693333333333334,0.008999314102807299,0.4417925340573968,0.9000031625287217,0.005577832669052569
RE2-TT,mem,0.15,10,15.0,0.8333333333333334,1.0,1.0,0.9666666666666666,0.007027283689263,0.41724867487532596,0.8500034342389153,0.0043555555555555145
RE2-TT,mem,0.2,10,15.0,0.8200000000000001,1.0,1.0,0.9640000000000001,0.006440611887195259,0.3926942408233068,0.7999818767090242,0.003991932605383724
RE2-TT,mem,0.25,10,15.0,0.8266666666666668,1.0,1.0,0.9653333333333334,0.006885303726590901,0.36816122297294335,0.7500045009253458,0.004267555462982209
RE2-TT,mem,0.35,10,15.0,0.8266666666666668,1.0,1.0,0.9653333333333334,0.006885303726590895,0.3190852161785465,0.65002870441596,0.004267555462982206
RE2-TT,mem,0.5,10,15.0,0.8266666666666668,1.0,1.0,0.9653333333333334,0.006885303726590902,0.24544398969983933,0.5000091381236504,0.00426755546298221
RE2-TT,mem,0.75,10,15.0,0.8,1.0,1.0,0.9600000000000002,0.0,0.12271744049380082,0.24999549907465432,0.0
RE2-TT,mem,1.0,10,15.0,0.8,1.0,1.0,0.9600000000000002,0.0,0.0,0.0,0.0
RE2-TT,socket,0.05,10,15.0,0.7666666666666667,1.0,1.0,0.9533333333333334,0.011331154474650666,0.49751549533223577,0.9499946754471509,0.007023122305184534
RE2-TT,socket,0.1,10,15.0,0.7466666666666667,1.0,1.0,0.9493333333333334,0.008432740427115708,0.47134767072370465,0.900006901126177,0.005226666666666685
RE2-TT,socket,0.15,10,15.0,0.7533333333333333,1.0,1.0,0.9506666666666668,0.006440611887195355,0.44514211792908515,0.8499817941796582,0.003991932605383784
RE2-TT,socket,0.2,10,15.0,0.74,1.0,1.0,0.9480000000000001,0.0042163702135578724,0.41898423211327857,0.8000161896643186,0.0026133333333333538
RE2-TT,socket,0.25,10,15.0,0.7466666666666667,1.0,1.0,0.9493333333333334,0.005621826951410491,0.39279865625035637,0.750030890542239,0.0034844444444444684
RE2-TT,socket,0.35,10,15.0,0.7266666666666666,1.0,1.0,0.9453333333333334,0.004216370213557837,0.34042529432806906,0.6500189480453358,0.0026133333333333317
RE2-TT,socket,0.5,10,15.0,0.74,1.0,1.0,0.9480000000000001,0.004216370213557862,0.2618555121267653,0.49999949940370725,0.0026133333333333473
RE2-TT,socket,0.75,10,15.0,0.7333333333333333,1.0,1.0,0.9466666666666667,0.0,0.1309126580954117,0.24996910945776102,0.0
RE2-TT,socket,1.0,10,15.0,0.7333333333333333,1.0,1.0,0.9466666666666667,0.0,0.0,0.0,0.0
